"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Albert Pujols","1177","Cardinals","1B","641","","8.69635772705078","8.7"
"Brian McCann","4810","Braves","C","573","","8.56041812896729","8.6"
"Chase Utley","1679","Phillies","2B","707","","8.17631530761719","8.2"
"Russell Martin","4616","Dodgers","C","650","","7.87591075897217","7.9"
"CC Sabathia","404","- - -","P","","253.0","7.35377669334412","7.8"
"Lance Berkman","548","Astros","1B","665","","7.66997337341309","7.7"
"Hanley Ramirez","8001","Marlins","SS","693","","7.43361663818359","7.4"
"Grady Sizemore","2197","Indians","CF","745","","7.42238426208496","7.4"
"Tim Lincecum","5705","Giants","P","","227.0","7.13916301727295","7.3"
"Carlos Beltran","589","Mets","CF","706","","7.23866748809814","7.2"
"Chipper Jones","97","Braves","3B","534","","7.09078693389893","7.1"
"David Wright","3787","Mets","3B","736","","6.98503017425537","7.0"
"Mark Teixeira","1281","- - -","1B","685","","6.88433694839478","6.9"
"Cliff Lee","1636","Indians","P","","223.1","6.75120973587036","6.7"
"Roy Halladay","1303","Blue Jays","P","","246.0","6.66497325897217","6.6"
"Dan Haren","1757","Diamondbacks","P","","216.0","6.086012840271","6.5"
"Dustin Pedroia","8370","Red Sox","2B","726","","6.35322237014771","6.4"
"Joe Mauer","1857","Twins","C","633","","6.35022735595703","6.4"
"Kevin Youkilis","1935","Red Sox","1B","621","","6.17967176437378","6.2"
"Nick Markakis","5930","Orioles","RF","697","","6.06789398193359","6.1"
"Manny Ramirez","210","- - -","LF","654","","5.93754124641418","5.9"
"Matt Holliday","1873","Rockies","LF","623","","5.88161563873291","5.9"
"Alex Rodriguez","1274","Yankees","3B","594","","5.84724950790405","5.8"
"Jose Reyes","1736","Mets","SS","763","","5.84319162368774","5.8"
"Evan Longoria","9368","Rays","3B","508","","5.64690399169922","5.6"
"Alex Rios","2090","Blue Jays","RF/CF","687","","5.50735139846802","5.5"
"Brandon Webb","1692","Diamondbacks","P","","226.2","5.46478796005249","5.4"
"Ryan Ludwick","1260","Cardinals","RF","617","","5.34233999252319","5.3"
"Ervin Santana","3200","Angels","P","","219.0","5.34851551055908","5.3"
"Johan Santana","755","Mets","P","","234.1","5.21059465408325","5.3"
"Randy Winn","1235","Giants","RF","667","","5.14148330688477","5.1"
"Jayson Werth","1327","Phillies","RF","482","","5.10915279388428","5.1"
"Aaron Cook","1571","Rockies","P","","211.1","4.75044250488281","5.1"
"A.J. Burnett","512","Blue Jays","P","","221.1","5.0436692237854","5.0"
"Cole Hamels","4972","Phillies","P","","227.1","4.64851951599121","5.0"
"Jimmy Rollins","971","Phillies","SS","625","","4.96004915237427","5.0"
"John Danks","6329","White Sox","P","","195.0","4.91630458831787","5.0"
"Ian Kinsler","6195","Rangers","2B","583","","4.82962036132813","4.8"
"Ryan Dempster","517","Cubs","P","","206.2","4.80463361740112","4.8"
"Troy Glaus","15","Cardinals","3B","637","","4.8023247718811","4.8"
"Melvin Upton Jr.","5015","Rays","CF","640","","4.79099655151367","4.8"
"Brian Roberts","166","Orioles","2B","704","","4.78391218185425","4.8"
"Carlos Quentin","6274","White Sox","LF","569","","4.74019861221313","4.7"
"Javier Vazquez","801","White Sox","P","","208.1","4.76273584365845","4.7"
"Ryan Braun","3410","Brewers","LF","663","","4.53012990951538","4.5"
"Aramis Ramirez","1002","Cubs","3B","645","","4.50591945648193","4.5"
"Yadier Molina","7007","Cardinals","C","485","","4.45794534683228","4.5"
"Mike Aviles","5986","Royals","SS","441","","4.35675001144409","4.4"
"Ben Sheets","710","Brewers","P","","198.1","4.7753586769104","4.4"
"Carlos Zambrano","305","Cubs","P","","188.2","2.89932203292847","4.3"
"Rich Harden","1772","- - -","P","","148.0","4.49472570419312","4.3"
"Josh Hamilton","1875","Rangers","CF","704","","4.28418731689453","4.3"
"Zack Greinke","1943","Royals","P","","202.1","4.18194389343262","4.3"
"Ichiro Suzuki","1101","Mariners","RF/CF","749","","4.27050638198853","4.3"
"Milton Bradley","369","Rangers","DH","510","","4.2606372833252","4.3"
"Shane Victorino","1677","Phillies","CF","627","","4.25619268417358","4.3"
"Mark Buehrle","225","White Sox","P","","218.2","4.23460006713867","4.2"
"Josh Beckett","510","Red Sox","P","","174.1","4.30136156082153","4.2"
"Jon Lester","4930","Red Sox","P","","210.1","4.27245235443115","4.2"
"Gil Meche","1089","Royals","P","","210.1","4.18203210830688","4.2"
"James Shields","7059","Rays","P","","215.0","4.1341290473938","4.2"
"Derek Lowe","199","Dodgers","P","","211.0","4.29303455352783","4.2"
"Jacoby Ellsbury","4727","Red Sox","CF/LF","609","","4.19410085678101","4.2"
"Dan Uggla","3442","Marlins","2B","619","","4.18717908859253","4.2"
"Ricky Nolasco","3830","Marlins","P","","212.1","4.2289514541626","4.2"
"Mark DeRosa","1392","Cubs","2B","593","","4.15400409698486","4.2"
"Jake Peavy","1051","Padres","P","","173.2","3.60654592514038","4.1"
"Curtis Granderson","4747","Tigers","CF","629","","4.10469102859497","4.1"
"Andy Sonnanstine","7667","Rays","P","","193.1","3.87916803359985","4.1"
"J.D. Drew","1152","Red Sox","RF","456","","4.07011318206787","4.1"
"Brian Giles","990","Padres","RF","653","","4.06006669998169","4.1"
"J.J. Hardy","3797","Brewers","SS","629","","4.00540018081665","4.0"
"Mike Cameron","1070","Brewers","CF","508","","3.98834824562073","4.0"
"Aubrey Huff","1213","Orioles","DH","661","","3.95440912246704","4.0"
"Adrian Beltre","639","Mariners","3B","612","","3.93829083442688","3.9"
"Felix Hernandez","4772","Mariners","P","","200.2","3.55976462364197","3.9"
"Kurt Suzuki","8259","Athletics","C","588","","3.86654782295227","3.9"
"Roy Oswalt","571","Astros","P","","208.2","3.65378618240356","3.8"
"Alfonso Soriano","847","Cubs","LF","503","","3.81754851341248","3.8"
"Carlos Pena","934","Rays","1B","607","","3.79180860519409","3.8"
"Nate McLouth","3190","Pirates","CF","685","","3.78533840179443","3.8"
"Johnny Damon","185","Yankees","LF","623","","3.75158905982971","3.8"
"Matt Cain","4732","Giants","P","","217.2","3.65559577941895","3.7"
"Chad Billingsley","5842","Dodgers","P","","200.2","3.90234327316284","3.7"
"Mike Mussina","837","Yankees","P","","200.1","3.61583614349365","3.6"
"Jose Molina","25","Yankees","C","297","","3.60272908210754","3.6"
"Joey Votto","4314","Reds","1B","589","","3.58113050460815","3.6"
"Randy Johnson","60","Diamondbacks","P","","184.0","3.56838798522949","3.6"
"Cody Ross","1760","Marlins","CF","506","","3.51932764053345","3.5"
"Ubaldo Jimenez","3374","Rockies","P","","198.2","4.18163681030273","3.5"
"Hiroki Kuroda","3283","Dodgers","P","","183.1","3.27166771888733","3.4"
"Derek Jeter","826","Yankees","SS","668","","3.38039422035217","3.4"
"Scott Baker","6176","Twins","P","","172.1","3.23892092704773","3.4"
"Andre Ethier","6265","Dodgers","RF/LF","596","","3.34643578529358","3.3"
"Matt Garza","3340","Rays","P","","184.2","3.34919023513794","3.3"
"Jhonny Peralta","1738","Indians","SS","664","","3.34098553657532","3.3"
"Matt Kemp","5631","Dodgers","RF/CF","657","","3.33218240737915","3.3"
"Justin Morneau","1737","Twins","1B","712","","3.33065557479858","3.3"
"Orlando Cabrera","766","White Sox","SS","730","","3.31451940536499","3.3"
"Andy Pettitte","840","Yankees","P","","204.0","3.31588506698608","3.3"
"Jair Jurrjens","5556","Braves","P","","188.1","3.31491255760193","3.3"
"Chone Figgins","1580","Angels","3B","520","","3.2627911567688","3.3"
"Paul Maholm","8678","Pirates","P","","206.1","3.28856444358826","3.3"
"Kevin Millwood","106","Rangers","P","","168.2","3.12902164459229","3.2"
"Shin-Soo Choo","3174","Indians","RF/LF","370","","3.19438290596008","3.2"
"Edinson Volquez","3990","Reds","P","","196.0","3.66676163673401","3.2"
"Carlos Lee","243","Astros","LF","481","","3.18524408340454","3.2"
"Denard Span","8347","Twins","RF","411","","3.18380808830261","3.2"
"Justin Verlander","8700","Tigers","P","","201.0","3.22218370437622","3.2"
"Jered Weaver","4235","Angels","P","","176.2","3.19739151000977","3.1"
"Mike Fontenot","3912","Cubs","2B","284","","3.12960958480835","3.1"
"Adrian Gonzalez","1908","Padres","1B","700","","3.11066007614136","3.1"
"Marlon Byrd","950","Rangers","RF/CF","462","","3.10263228416443","3.1"
"Melvin Mora","157","Orioles","3B","570","","3.06095457077026","3.1"
"Xavier Nady","1658","- - -","RF/LF","607","","3.03103178739548","3.0"
"Akinori Iwamura","7781","Rays","2B","707","","3.02454710006714","3.0"
"Willie Harris","236","Nationals","LF","424","","3.01764678955078","3.0"
"Placido Polanco","1176","Tigers","2B","629","","3.00387001037598","3.0"
"Marco Scutaro","1555","Blue Jays","2B/3B/SS","592","","3.00068879127502","3.0"
"Ryan Theriot","3811","Cubs","SS","661","","2.99738931655884","3.0"
"Jason Bay","1717","- - -","LF","670","","2.99349653720856","3.0"
"Geovany Soto","3707","Cubs","C","563","","2.99167442321777","3.0"
"Adam Wainwright","2233","Cardinals","P","","132.0","2.3895480632782","3.0"
"Ted Lilly","833","Cubs","P","","204.2","2.9154007434845","3.0"
"Mariano Rivera","844","Yankees","P","","70.2","2.95398283004761","3.0"
"Kelly Shoppach","3867","Indians","C","403","","2.95316386222839","3.0"
"Hunter Pence","8252","Astros","RF","642","","2.90624356269836","2.9"
"Joba Chamberlain","2692","Yankees","P","","100.1","2.88093733787537","2.9"
"Jody Gerut","1696","Padres","CF","356","","2.86561417579651","2.9"
"Raul Ibanez","607","Mariners","LF","707","","2.86471152305603","2.9"
"Conor Jackson","5997","Diamondbacks","1B/LF","612","","2.8556010723114","2.9"
"Mark Ellis","1443","Athletics","2B","507","","2.84842610359192","2.8"
"Ryan Howard","2154","Phillies","1B","700","","2.82939577102661","2.8"
"Zach Duke","3840","Pirates","P","","185.0","2.82535648345947","2.8"
"Jonathan Papelbon","5975","Red Sox","P","","69.1","2.79202914237976","2.8"
"Mike Pelfrey","5203","Mets","P","","200.2","3.01872706413269","2.8"
"Cristian Guzman","728","Nationals","SS","612","","2.79061841964722","2.8"
"Manny Parra","4279","Brewers","P","","166.0","2.29758143424988","2.8"
"Yunel Escobar","4191","Braves","SS","587","","2.77295970916748","2.8"
"Carl Crawford","1201","Rays","LF","482","","2.76415634155273","2.8"
"Ty Wigginton","1491","Astros","3B/LF","429","","2.7433602809906","2.7"
"Brandon Phillips","791","Reds","2B","609","","2.74289560317993","2.7"
"Elijah Dukes","4946","Nationals","RF","334","","2.73534822463989","2.7"
"Bronson Arroyo","978","Reds","P","","200.0","2.27614760398865","2.7"
"Wandy Rodriguez","2586","Astros","P","","137.1","2.90352201461792","2.7"
"Daisuke Matsuzaka","7775","Red Sox","P","","167.2","2.75043678283691","2.7"
"Carlos Gomez","4881","Twins","CF","614","","2.69103026390076","2.7"
"Ray Durham","230","- - -","2B","426","","2.69021022319794","2.7"
"Scott Rolen","970","Blue Jays","3B","467","","2.66751027107239","2.7"
"Kevin Slowey","9918","Twins","P","","160.1","2.58616185188293","2.7"
"Nick Punto","1429","Twins","2B/SS","377","","2.65768432617188","2.7"
"Jerry Hairston","144","Reds","SS","297","","2.65358519554138","2.7"
"Alex Gordon","5209","Royals","3B","571","","2.63786292076111","2.6"
"Kelly Johnson","2234","Braves","2B","614","","2.63498830795288","2.6"
"Miguel Cabrera","1744","Tigers","1B","684","","2.62758493423462","2.6"
"Randy Wolf","976","- - -","P","","190.1","2.578125","2.6"
"Jorge Cantu","2521","Marlins","1B/3B","685","","2.61567544937134","2.6"
"Josh Willingham","2103","Marlins","LF","416","","2.59210991859436","2.6"
"David DeJesus","1825","Royals","CF/LF","577","","2.57006883621216","2.6"
"Brian Fuentes","429","Rockies","P","","62.2","2.50598549842834","2.5"
"Kyle Lohse","739","Cardinals","P","","200.0","2.84566473960876","2.5"
"Miguel Tejada","941","Astros","SS","666","","2.44371867179871","2.4"
"Jamie Moyer","1091","Phillies","P","","196.1","2.5317599773407","2.4"
"Chris Coste","7243","Phillies","C","305","","2.42278027534485","2.4"
"Gabe Gross","2184","- - -","RF","399","","2.4183748960495","2.4"
"Derrek Lee","525","Cubs","1B","698","","2.41350769996643","2.4"
"Jason Giambi","818","Yankees","1B","565","","2.41296553611755","2.4"
"Carlos Delgado","1297","Mets","1B","686","","2.41141438484192","2.4"
"Justin Duchscherer","910","Athletics","P","","141.2","2.47214794158936","2.4"
"Jonathan Sanchez","7507","Giants","P","","158.0","2.65143394470215","2.4"
"David Ross","1551","- - -","C","182","","2.38339687045664","2.4"
"Michael Young","1286","Rangers","SS","708","","2.3758499622345","2.4"
"Torii Hunter","731","Angels","CF","608","","2.36497783660889","2.4"
"Pat Burrell","949","Phillies","LF","645","","2.34389424324036","2.3"
"Dana Eveland","5508","Athletics","P","","168.0","2.24286317825317","2.3"
"Scott Kazmir","4897","Rays","P","","152.1","2.33052229881287","2.3"
"Fred Lewis","4693","Giants","LF","521","","2.28110814094543","2.3"
"Grant Balfour","718","Rays","P","","58.1","2.28544664382935","2.3"
"Casey Blake","719","- - -","3B","601","","2.27099424600601","2.3"
"Braden Looper","526","Cardinals","P","","199.0","1.48150849342346","2.3"
"Jeremy Guthrie","2072","Orioles","P","","190.2","2.28938841819763","2.3"
"Hong-Chih Kuo","7016","Dodgers","P","","80.0","2.14742970466614","2.3"
"Chris Young","3882","Diamondbacks","CF","699","","2.24501967430115","2.2"
"Brad Lidge","563","Phillies","P","","69.1","2.22272777557373","2.2"
"Jose Lopez","3114","Mariners","2B","687","","2.22101902961731","2.2"
"Jason Marquis","105","Cubs","P","","167.0","1.74684178829193","2.2"
"Joe Saunders","4366","Angels","P","","198.0","2.25320720672607","2.2"
"Ryan Sweeney","6352","Athletics","RF/CF","433","","2.2062406539917","2.2"
"Kevin Kouzmanoff","5995","Padres","3B","668","","2.20347023010254","2.2"
"Ian Snell","2227","Pirates","P","","164.1","2.31200981140137","2.2"
