"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Scott Hairston","1926","Padres","CF/LF","362","","2.19996309280396","2.2"
"Jorge De La Rosa","2047","Rockies","P","","130.0","2.38138055801392","2.2"
"Gavin Floyd","3886","White Sox","P","","206.1","2.22481441497803","2.2"
"Mike Lowell","527","Red Sox","3B","468","","2.16802167892456","2.2"
"Kerry Wood","304","Cubs","P","","66.1","2.14687895774841","2.1"
"Jack Cust","1564","Athletics","LF/DH","598","","2.14578461647034","2.1"
"Franklin Gutierrez","3255","Indians","RF","440","","2.13468980789185","2.1"
"Greg Maddux","104","- - -","P","","194.0","2.35663062334061","2.1"
"Luke Scott","3469","Orioles","LF","536","","2.09436321258545","2.1"
"Erick Aybar","4082","Angels","SS","375","","2.08059096336365","2.1"
"Carlos Guillen","1079","Tigers","3B","489","","2.07505178451538","2.1"
"Jonathan Broxton","4759","Dodgers","P","","69.0","2.01030683517456","2.0"
"Dustin McGowan","8600","Blue Jays","P","","111.1","2.07934641838074","2.0"
"Rickie Weeks Jr.","1849","Brewers","2B","560","","2.01227259635925","2.0"
"Jesse Litsch","3688","Blue Jays","P","","176.0","2.0408182144165","2.0"
"Jorge Campillo","8686","Braves","P","","158.2","1.94237124919891","2.0"
"Eric Hinske","1305","Rays","RF/LF","432","","1.99849534034729","2.0"
"Rafael Furcal","88","Dodgers","SS","164","","1.99634158611298","2.0"
"Chris Snyder","4606","Diamondbacks","C","404","","1.99378061294556","2.0"
"Josh Johnson","4567","Marlins","P","","87.1","1.99038183689117","2.0"
"Jose Contreras","1660","White Sox","P","","121.0","1.97880530357361","2.0"
"Nick Blackburn","4270","Twins","P","","193.1","1.91294765472412","1.9"
"Gregg Zaun","580","Blue Jays","C","288","","1.92582213878632","1.9"
"Ryan Zimmerman","4220","Nationals","3B","466","","1.92444682121277","1.9"
"Doug Davis","1244","Diamondbacks","P","","146.0","2.28636264801025","1.9"
"Jason Kendall","993","Brewers","C","587","","1.90569496154785","1.9"
"Tim Hudson","921","Braves","P","","142.0","1.94380164146423","1.9"
"Micah Owings","4253","- - -","P","","104.2","1.03376448154449","1.9"
"Vladimir Guerrero","778","Angels","RF/DH","600","","1.89123320579529","1.9"
"Stephen Drew","4251","Diamondbacks","SS","663","","1.88138246536255","1.9"
"Cha Seung Baek","8214","- - -","P","","141.0","1.66767376661301","1.9"
"Jason Bartlett","8219","Rays","SS","494","","1.85969638824463","1.9"
"Jamey Carroll","1591","Indians","2B/3B","402","","1.85403347015381","1.9"
"Mike Napoli","3057","Angels","C","274","","1.82145202159882","1.8"
"Howie Kendrick","4229","Angels","2B","361","","1.82102239131927","1.8"
"Skip Schumaker","3704","Cardinals","CF/LF","594","","1.81872189044952","1.8"
"Joe Nathan","1122","Twins","P","","67.2","1.81135773658752","1.8"
"Kaz Matsui","1854","Astros","2B","422","","1.80294549465179","1.8"
"David Murphy","6035","Rangers","RF/LF","454","","1.79993522167206","1.8"
"Ramon Ramirez","7986","Royals","P","","71.2","1.79933369159698","1.8"
"Paul Bako","676","Reds","C","338","","1.79371118545532","1.8"
"Chad Qualls","2170","Diamondbacks","P","","73.2","1.81984102725983","1.8"
"John Baker","4756","Marlins","C","233","","1.76993536949158","1.8"
"Nelson Cruz","2434","Rangers","RF","133","","1.76918017864227","1.8"
"David Ortiz","745","Red Sox","DH","491","","1.75119185447693","1.8"
"Matt Thornton","1918","White Sox","P","","67.1","1.75060951709747","1.8"
"Chris Sampson","2651","Astros","P","","117.1","1.77403020858765","1.7"
"Bengie Molina","24","Giants","C","569","","1.71935665607452","1.7"
"Ben Francisco","4677","Indians","LF","499","","1.70824921131134","1.7"
"Joe Inglett","7254","Blue Jays","2B","385","","1.70730590820313","1.7"
"Clint Barmes","1830","Rockies","2B/SS","417","","1.69366955757141","1.7"
"Magglio Ordonez","248","Tigers","RF","623","","1.68034386634827","1.7"
"Jim Thome","409","White Sox","DH","602","","1.66419577598572","1.7"
"Gabe Kapler","1256","Brewers","CF/LF","245","","1.66279578208923","1.7"
"Coco Crisp","1572","Red Sox","CF","409","","1.66254091262817","1.7"
"Todd Wellemeyer","1709","Cardinals","P","","191.2","1.76473689079285","1.7"
"Rick Ankiel","1142","Cardinals","CF","463","","1.6512953042984","1.7"
"Brian Schneider","795","Mets","C","384","","1.6491436958313","1.6"
"John Maine","4773","Mets","P","","140.0","1.6296079158783","1.6"
"Bobby Abreu","945","Yankees","RF","684","","1.63747501373291","1.6"
"Lyle Overbay","1617","Blue Jays","1B","630","","1.61201250553131","1.6"
"Joe Crede","227","White Sox","3B","373","","1.60188782215118","1.6"
"Shaun Marcum","6204","Blue Jays","P","","151.1","1.62081718444824","1.6"
"Jed Lowrie","4418","Red Sox","3B/SS","306","","1.58832669258118","1.6"
"Aaron Miles","1844","Cardinals","2B","408","","1.55883753299713","1.6"
"Edwin Encarnacion","2151","Reds","3B","582","","1.5743100643158","1.6"
"Matt Joyce","3353","Tigers","RF/LF","277","","1.57264375686646","1.6"
"Takashi Saito","6021","Dodgers","P","","47.0","1.58216881752014","1.6"
"Joe Blanton","4849","- - -","P","","197.2","1.79806751012802","1.6"
"Andrew Miller","6785","Marlins","P","","107.1","1.8477144241333","1.6"
"Blake DeWitt","7485","Dodgers","3B","421","","1.55859625339508","1.6"
"Ronnie Belliard","677","Nationals","1B/2B/3B","337","","1.53362607955933","1.5"
"J.P. Howell","8245","Rays","P","","89.1","1.54472410678864","1.5"
"Frank Francisco","1933","Rangers","P","","63.1","1.53081357479095","1.5"
"Armando Galarraga","4222","Tigers","P","","178.2","1.38688981533051","1.5"
"Adam Jones","6368","Orioles","CF","514","","1.51113176345825","1.5"
"Joey Devine","9862","Athletics","P","","45.2","1.5039187669754","1.5"
"Chris Young","3196","Padres","P","","102.1","1.48049402236938","1.5"
"Francisco Rodriguez","1642","Angels","P","","68.1","1.49869561195374","1.5"
"Edwin Jackson","1841","Rays","P","","183.1","1.50309777259827","1.5"
"Chien-Ming Wang","2074","Yankees","P","","95.0","1.53397631645203","1.5"
"Ben Zobrist","7435","Rays","SS","227","","1.49048781394958","1.5"
"Oliver Perez","1514","Mets","P","","194.0","1.57751381397247","1.5"
"Alexi Casilla","5248","Twins","2B","437","","1.45976960659027","1.5"
"Kyle Davies","3642","Royals","P","","113.0","1.4989093542099","1.5"
"Asdrubal Cabrera","4962","Indians","2B","418","","1.44980752468109","1.4"
"Reed Johnson","1702","Cubs","CF","374","","1.43929290771484","1.4"
"Damaso Marte","247","- - -","P","","65.0","1.43797901272774","1.4"
"Greg Smith","3455","Athletics","P","","190.1","1.36456823348999","1.4"
"Mark Grudzielanek","653","Royals","2B","360","","1.42996835708618","1.4"
"Brett Myers","962","Phillies","P","","190.0","1.77283561229706","1.4"
"Chris Volstad","9901","Marlins","P","","84.1","1.50211560726166","1.4"
"Adam Kennedy","19","Cardinals","2B","365","","1.41286969184875","1.4"
"Carlos Marmol","2790","Cubs","P","","87.1","1.43674576282501","1.4"
"Chris Dickerson","7095","Reds","LF","122","","1.40625178813934","1.4"
"Kosuke Fukudome","3263","Cubs","RF","590","","1.39709067344666","1.4"
"Tim Redding","573","Nationals","P","","182.0","1.15298402309418","1.4"
"Garret Anderson","2","Angels","LF/DH","593","","1.39189326763153","1.4"
"Jermaine Dye","911","White Sox","RF","645","","1.39183402061462","1.4"
"Willy Aybar","2192","Rays","3B","362","","1.38836395740509","1.4"
"Ryan Church","2106","Mets","RF","359","","1.37835991382599","1.4"
"Francisco Liriano","3201","Twins","P","","76.0","1.3674556016922","1.4"
"Mark Hendrickson","1574","Marlins","P","","133.2","1.00996541976929","1.4"
"Vicente Padilla","964","Rangers","P","","171.0","1.38418126106262","1.3"
"Joakim Soria","6941","Royals","P","","67.1","1.33564341068268","1.3"
"Maicer Izturis","2437","Angels","2B/SS","321","","1.33257687091827","1.3"
"Bobby Crosby","1818","Athletics","SS","605","","1.32932162284851","1.3"
"Taylor Buchholz","2168","Rockies","P","","66.1","1.28381836414337","1.3"
"Jon Garland","232","Angels","P","","196.2","1.30494129657745","1.3"
"Matt Capps","4788","Pirates","P","","53.2","1.33061718940735","1.3"
"Adam LaRoche","1904","Pirates","1B","554","","1.31365156173706","1.3"
"Jack Hannahan","3692","Athletics","3B","501","","1.30828833580017","1.3"
"Jeff Francis","4684","Rockies","P","","143.2","1.53186643123627","1.3"
"Orlando Hudson","1307","Diamondbacks","2B","455","","1.29644107818604","1.3"
"John Lackey","1507","Angels","P","","163.1","1.37539327144623","1.3"
"Jarrod Washburn","40","Mariners","P","","153.2","1.43689465522766","1.3"
"Prince Fielder","4613","Brewers","1B","694","","1.28460144996643","1.3"
"Carlos Silva","973","Mariners","P","","153.1","1.33554828166962","1.3"
"Odalis Perez","668","Nationals","P","","159.2","1.36142301559448","1.3"
"Fernando Tatis","798","Mets","RF/LF","306","","1.2675302028656","1.3"
"Russell Branyan","370","Brewers","3B","152","","1.25459432601929","1.3"
"Nate Schierholtz","6201","Giants","RF","81","","1.24977803230286","1.2"
"Mark Loretta","1383","Astros","2B","297","","1.24755012989044","1.2"
"Pedro Feliz","1112","Phillies","3B","463","","1.2446551322937","1.2"
"Mark Reynolds","7619","Diamondbacks","3B","613","","1.24334561824799","1.2"
"Bobby Jenks","8645","White Sox","P","","61.2","1.23711502552032","1.2"
"Saul Rivera","2027","Nationals","P","","84.0","1.24078011512756","1.2"
"Luke Hochevar","6943","Royals","P","","129.0","1.27378058433533","1.2"
"Jeff Mathis","3448","Angels","C","328","","1.21815156936646","1.2"
"Aaron Harang","1451","Reds","P","","184.1","1.45182251930237","1.2"
"Rafael Perez","4078","Indians","P","","76.1","1.21463322639465","1.2"
"Rod Barajas","45","Blue Jays","C","377","","1.2143247127533","1.2"
"Billy Wagner","578","Mets","P","","47.0","1.21072018146515","1.2"
"Heath Bell","2080","Padres","P","","78.0","1.20130932331085","1.2"
"Arthur Rhodes","1097","- - -","P","","35.1","1.20059418678284","1.2"
"Barry Zito","944","Giants","P","","180.0","1.29259037971497","1.2"
"A.J. Pierzynski","746","White Sox","C","570","","1.19942605495453","1.2"
"Gregor Blanco","3123","Braves","CF/LF","519","","1.17012751102448","1.2"
"Alfredo Amezaga","1","Marlins","CF","337","","1.16321218013763","1.2"
"Ramon Santiago","1417","Tigers","2B/SS","156","","1.16181230545044","1.2"
"Ryan Madson","1852","Phillies","P","","82.2","1.18128395080566","1.2"
"Alberto Callaspo","3336","Royals","2B/SS","234","","1.14646136760712","1.1"
"Brett Gardner","9927","Yankees","CF/LF","141","","1.14491045475006","1.1"
"Fernando Perez","7755","Rays","CF/LF","72","","1.14158797264099","1.1"
"Edgar Renteria","1178","Tigers","SS","547","","1.14029669761658","1.1"
"Nick Swisher","4599","White Sox","1B/CF","588","","1.13623237609863","1.1"
"Martin Prado","3312","Braves","1B/2B/3B","254","","1.11398541927338","1.1"
"Huston Street","8258","Athletics","P","","70.0","1.10806357860565","1.1"
"Manny Delcarmen","3180","Red Sox","P","","74.1","1.10512816905975","1.1"
"Jose Arredondo","4722","Angels","P","","61.0","1.09911274909973","1.1"
"Geoff Blum","550","Astros","3B","356","","1.09741008281708","1.1"
"Darrell Rasner","4770","Yankees","P","","113.1","1.01957428455353","1.1"
"Erik Bedard","126","Mariners","P","","81.0","0.990730881690979","1.1"
"Jose Valverde","1726","Astros","P","","72.0","1.08659493923187","1.1"
"Tim Wakefield","219","Red Sox","P","","181.0","1.101691365242","1.1"
"Mike Adams","1937","Padres","P","","65.1","1.08445012569427","1.1"
"Scott Olsen","4529","Marlins","P","","201.2","1.20729088783264","1.1"
"Brian Moehler","480","Astros","P","","150.0","1.37675356864929","1.0"
"Livan Hernandez","1116","- - -","P","","180.0","0.931200452148914","1.0"
"Scott Downs","773","Blue Jays","P","","70.2","1.04808354377747","1.0"
"Jack Wilson","1017","Pirates","SS","330","","1.04774522781372","1.0"
"Taylor Teagarden","5199","Rangers","C/DH","53","","1.04263615608215","1.0"
"Wil Nieves","1556","Nationals","C","196","","1.03920602798462","1.0"
"Hideki Okajima","7763","Red Sox","P","","62.0","1.03518652915955","1.0"
"Nate Robertson","1620","Tigers","P","","168.2","1.07480680942535","1.0"
"Tony Pena","4573","Diamondbacks","P","","72.2","1.01927554607391","1.0"
"Ian Stewart","5950","Rockies","3B","304","","1.01768505573273","1.0"
"Jim Johnson","3656","Orioles","P","","68.2","1.01644372940063","1.0"
"Cameron Maybin","5223","Marlins","CF","36","","0.998859524726868","1.0"
"Brian Bannister","5718","Royals","P","","182.2","0.972479104995728","1.0"
"Brendan Harris","2178","Twins","2B/3B/SS","490","","0.995411217212677","1.0"
"Brandon Boggs","8021","Rangers","LF","334","","0.989410221576691","1.0"
"Vernon Wells","1326","Blue Jays","CF","466","","0.986957967281342","1.0"
"Pablo Sandoval","5409","Giants","C/1B/3B","154","","0.983359217643738","1.0"
"Ryan Langerhans","98","Nationals","RF/LF","139","","0.983171284198761","1.0"
"Ryan Hanigan","4952","Reds","C","98","","0.97784012556076","1.0"
"Clayton Kershaw","2036","Dodgers","P","","107.2","1.29175937175751","1.0"
"Bobby Seay","1225","Tigers","P","","56.1","0.968846440315247","1.0"
"Jay Payton","890","Orioles","CF/LF","364","","0.968009114265442","1.0"
"Sean Gallagher","8261","- - -","P","","115.1","1.15264430642128","1.0"
"Cesar Izturis","656","Cardinals","SS","454","","0.965182185173035","1.0"
"Dave Bush","4635","Brewers","P","","185.0","1.32334077358246","1.0"
"Alexei Ramirez","5133","White Sox","2B","509","","0.959245383739471","1.0"
"Carlos Gonzalez","7287","Athletics","RF/CF","316","","0.958301365375519","1.0"
"Jason Grilli","521","- - -","P","","75.0","1.01742083206773","1.0"
"Yorvit Torrealba","1135","Rockies","C","261","","0.955761134624481","1.0"
"Garrett Olson","9889","Orioles","P","","132.2","0.931225597858429","1.0"
