"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Curtis Granderson","4747","Tigers","CF","679","","4.00495386123657","4.0"
"Dave Bush","4635","Brewers","P","","210.0","3.82747459411621","4.0"
"Joe Crede","227","White Sox","3B","586","","3.94719290733337","3.9"
"Nick Swisher","4599","Athletics","1B/LF","672","","3.92335176467896","3.9"
"Chipper Jones","97","Braves","3B","477","","3.92143297195435","3.9"
"Kelvim Escobar","1298","Angels","P","","189.1","3.9566924571991","3.9"
"Austin Kearns","332","- - -","RF","629","","3.88875985145569","3.9"
"Gary Matthews Jr.","153","Rangers","CF","690","","3.88561010360718","3.9"
"Ryan Zimmerman","4220","Nationals","3B","682","","3.84974241256714","3.8"
"Morgan Ensberg","556","Astros","3B","495","","3.84597086906433","3.8"
"Corey Patterson","300","Orioles","CF","499","","3.84388422966003","3.8"
"Alex Rodriguez","1274","Yankees","3B","674","","3.82296919822693","3.8"
"Rafael Furcal","88","Dodgers","SS","736","","3.80624580383301","3.8"
"Chris Capuano","1701","Brewers","P","","221.1","4.00578260421753","3.8"
"Jason Schmidt","1131","Giants","P","","213.1","3.84191799163818","3.8"
"Ryan Freel","1207","Reds","RF/CF","523","","3.79250836372375","3.8"
"Justin Morneau","1737","Twins","1B","661","","3.76709413528442","3.8"
"Dan Haren","1757","Athletics","P","","223.0","3.84424376487732","3.8"
"Chien-Ming Wang","2074","Yankees","P","","218.0","3.79454040527344","3.7"
"Jake Westbrook","412","Indians","P","","211.1","3.57307553291321","3.7"
"Jon Garland","232","White Sox","P","","211.1","3.59268593788147","3.7"
"Andy Pettitte","840","Astros","P","","214.1","3.38935685157776","3.7"
"Aramis Ramirez","1002","Cubs","3B","660","","3.7189028263092","3.7"
"Matt Cain","4732","Giants","P","","190.2","3.78974390029907","3.7"
"Brad Penny","535","Dodgers","P","","189.0","3.55288505554199","3.7"
"Francisco Liriano","3201","Twins","P","","121.0","3.61854243278503","3.7"
"Ben Sheets","710","Brewers","P","","106.0","4.01548767089844","3.7"
"Dontrelle Willis","1703","Marlins","P","","223.1","3.04264616966248","3.7"
"Ray Durham","230","Giants","2B","555","","3.62784433364868","3.6"
"Johnny Damon","185","Yankees","CF","671","","3.61185359954834","3.6"
"Nick Punto","1429","Twins","3B","524","","3.61051058769226","3.6"
"Scott Kazmir","4897","Devil Rays","P","","144.2","3.64781761169434","3.6"
"Edgar Renteria","1178","Braves","SS","673","","3.60920691490173","3.6"
"Bobby Abreu","945","- - -","RF","686","","3.60453057289124","3.6"
"Mark Teixeira","1281","Rangers","1B","727","","3.54934167861938","3.5"
"Vladimir Guerrero","778","Angels","RF","665","","3.5453360080719","3.5"
"Matt Holliday","1873","Rockies","LF","667","","3.49010467529297","3.5"
"Zach Duke","3840","Pirates","P","","215.1","3.22203016281128","3.5"
"Roger Clemens","815","Astros","P","","113.1","3.44542670249939","3.5"
"Alex Rios","2090","Blue Jays","RF","498","","3.45145177841187","3.5"
"Raul Ibanez","607","Mariners","LF","699","","3.44128727912903","3.4"
"Rocco Baldelli","1656","Devil Rays","CF","387","","3.42343020439148","3.4"
"Jeff Francis","4684","Rockies","P","","199.0","3.45724129676819","3.4"
"Eric Chavez","906","Athletics","3B","576","","3.39808821678162","3.4"
"Troy Glaus","15","Blue Jays","3B","634","","3.37260580062866","3.4"
"J.J. Putz","1795","Mariners","P","","78.1","3.36954259872437","3.4"
"Michael Young","1286","Rangers","SS","748","","3.3645806312561","3.4"
"Omar Vizquel","411","Giants","SS","659","","3.34535884857178","3.3"
"Willy Taveras","1876","Astros","CF","587","","3.26844096183777","3.3"
"Tom Glavine","90","Mets","P","","198.0","2.88676071166992","3.3"
"Emil Brown","1197","Royals","RF/LF","601","","3.26534867286682","3.3"
"Randy Johnson","60","Yankees","P","","205.0","3.24072790145874","3.2"
"Felix Hernandez","4772","Mariners","P","","191.0","3.2836058139801","3.2"
"Barry Bonds","1109","Giants","LF","493","","3.21341586112976","3.2"
"Vicente Padilla","964","Rangers","P","","200.0","3.20053553581238","3.2"
"Joe Blanton","4849","Athletics","P","","194.1","3.195641040802","3.2"
"Freddy Garcia","1077","White Sox","P","","216.1","3.14113783836365","3.1"
"Takashi Saito","6021","Dodgers","P","","78.1","3.14575934410095","3.1"
"Jason Bartlett","8219","Twins","SS","372","","3.14335441589355","3.1"
"Aaron Cook","1571","Rockies","P","","212.2","3.60497760772705","3.1"
"Juan Pierre","443","Cubs","CF","750","","3.08102941513062","3.1"
"Jonathan Papelbon","5975","Red Sox","P","","68.1","3.07995843887329","3.1"
"Michael Cuddyer","1534","Twins","RF","635","","3.07039213180542","3.1"
"Brian Roberts","166","Orioles","2B","630","","3.05913257598877","3.1"
"Dave Roberts","670","Padres","LF","567","","3.05680775642395","3.1"
"Joe Nathan","1122","Twins","P","","68.1","3.06561613082886","3.1"
"Mark Teahen","4511","Royals","3B","439","","3.04860925674438","3.0"
"Endy Chavez","768","Mets","RF/CF/LF","390","","3.01011610031128","3.0"
"Jason Giambi","818","Yankees","1B/DH","579","","3.00330448150635","3.0"
"Brian Giles","990","Padres","RF","717","","3.00329065322876","3.0"
"Ervin Santana","3200","Angels","P","","204.0","2.9596152305603","3.0"
"Rich Aurilia","1106","Reds","1B/3B","481","","2.96962881088257","3.0"
"Jose Valentin","256","Mets","2B","432","","2.96754503250122","3.0"
"Jermaine Dye","911","White Sox","RF","611","","2.96711158752441","3.0"
"Paul Konerko","242","White Sox","1B","643","","2.95801496505737","3.0"
"Brett Myers","962","Phillies","P","","198.0","3.53032445907593","3.0"
"Ivan Rodriguez","1275","Tigers","C","580","","2.94770503044128","2.9"
"Eric Byrnes","905","Diamondbacks","CF","606","","2.93911004066467","2.9"
"Adrian Gonzalez","1908","Padres","1B","631","","2.92573642730713","2.9"
"Manny Ramirez","210","Red Sox","LF","558","","2.90426063537598","2.9"
"Jason Kendall","993","Athletics","C","626","","2.90399622917175","2.9"
"Orlando Hernandez","823","- - -","P","","162.1","2.73556941747665","2.9"
"Mark DeRosa","1392","Rangers","3B/RF","572","","2.8872172832489","2.9"
"Luke Scott","3469","Astros","LF","249","","2.86587858200073","2.9"
"Kenji Johjima","5811","Mariners","C","542","","2.84955215454102","2.8"
"A.J. Burnett","512","Blue Jays","P","","135.2","2.87826991081238","2.8"
"Matt Murton","6307","Cubs","LF","508","","2.83918929100037","2.8"
"Carlos Delgado","1297","Mets","1B","618","","2.802166223526","2.8"
"Victor Martinez","393","Indians","C","652","","2.79259562492371","2.8"
"Justin Verlander","8700","Tigers","P","","186.0","2.81284117698669","2.8"
"Josh Bard","1578","- - -","C","284","","2.70283754728734","2.7"
"Shane Victorino","1677","Phillies","CF/LF","462","","2.69834280014038","2.7"
"Brad Hawpe","1885","Rockies","RF","575","","2.69021415710449","2.7"
"Mark Grudzielanek","653","Royals","2B","586","","2.6881206035614","2.7"
"B.J. Ryan","168","Blue Jays","P","","72.1","2.67841839790344","2.7"
"Jamey Carroll","1591","Rockies","2B","534","","2.66763234138489","2.7"
"Orlando Cabrera","766","Angels","SS","675","","2.65905594825745","2.7"
"Kevin Youkilis","1935","Red Sox","1B","680","","2.65032434463501","2.7"
"Scott Olsen","4529","Marlins","P","","180.2","2.51564073562622","2.6"
"Cole Hamels","4972","Phillies","P","","132.1","2.58006644248962","2.6"
"Milton Bradley","369","Athletics","RF","405","","2.59156012535095","2.6"
"David Ross","1551","Reds","C","296","","2.58658480644226","2.6"
"Matt Morris","1172","Giants","P","","207.2","2.27953171730042","2.6"
"Frank Catalanotto","1241","Blue Jays","LF","499","","2.56697487831116","2.6"
"Miguel Batista","46","Diamondbacks","P","","206.1","2.87170672416687","2.6"
"Jered Weaver","4235","Angels","P","","123.0","2.54707407951355","2.5"
"Aaron Hill","6104","Blue Jays","2B/SS","606","","2.53785419464111","2.5"
"Daniel Cabrera","1931","Orioles","P","","148.0","2.56039881706238","2.5"
"Mike Napoli","3057","Angels","C","325","","2.53170585632324","2.5"
"Paul Lo Duca","662","Mets","C","551","","2.52152442932129","2.5"
"Mike Lowell","527","Red Sox","3B","631","","2.51980137825012","2.5"
"Tony Graffanino","235","- - -","2B","511","","2.48608493804932","2.5"
"Livan Hernandez","1116","- - -","P","","216.0","1.96510601043701","2.5"
"Francisco Rodriguez","1642","Angels","P","","73.0","2.44506287574768","2.4"
"Juan Rivera","843","Angels","RF/LF","494","","2.40500211715698","2.4"
"Frank Thomas","255","Athletics","DH","559","","2.40157318115234","2.4"
"Russell Martin","4616","Dodgers","C","468","","2.39761877059937","2.4"
"Richie Sexson","709","Mariners","1B","663","","2.39187836647034","2.4"
"Josh Johnson","4567","Marlins","P","","157.0","2.55293369293213","2.4"
"Jeff Suppan","633","Cardinals","P","","190.0","1.86848628520966","2.4"
"Robinson Cano","3269","Yankees","2B","508","","2.37071323394775","2.4"
"Byung-Hyun Kim","61","Rockies","P","","155.0","2.42386841773987","2.4"
"Gabe Gross","2184","Brewers","CF/LF","252","","2.35856127738953","2.4"
"Jaret Wright","415","Yankees","P","","140.1","2.36399817466736","2.4"
"Clay Hensley","4593","Padres","P","","187.0","2.49238610267639","2.4"
"Cliff Lee","1636","Indians","P","","200.2","2.34712076187134","2.3"
"Huston Street","8258","Athletics","P","","70.2","2.34376358985901","2.3"
"Chris Duncan","2722","Cardinals","RF/LF","314","","2.33328247070313","2.3"
"Michael Barrett","762","Cubs","C","418","","2.32856369018555","2.3"
"Esteban Loaiza","1310","Athletics","P","","154.2","2.37144708633423","2.3"
"Khalil Greene","1826","Padres","SS","460","","2.2708375453949","2.3"
"Torii Hunter","731","Twins","CF","611","","2.26813387870789","2.3"
"Josh Barfield","3622","Padres","2B","578","","2.26265621185303","2.3"
"Jon Lieber","287","Phillies","P","","168.0","2.41305804252625","2.2"
"Adam Everett","1430","Astros","SS","566","","2.21169972419739","2.2"
"Adam LaRoche","1904","Braves","1B","557","","2.20722270011902","2.2"
"Pedro Martinez","200","Mets","P","","132.2","2.28994297981262","2.2"
"Nate Robertson","1620","Tigers","P","","208.2","2.18934988975525","2.2"
"Luis Castillo","513","Twins","2B","652","","2.17458033561707","2.2"
"Mike Lamb","1258","Astros","1B/3B","422","","2.17256712913513","2.2"
"Andre Ethier","6265","Dodgers","LF","441","","2.15574860572815","2.2"
"Tim Hudson","921","Braves","P","","218.1","2.4777557849884","2.2"
"Barry Zito","944","Athletics","P","","221.0","2.1993556022644","2.1"
"Chris Young","3196","Padres","P","","179.1","2.17511773109436","2.1"
"Mariano Rivera","844","Yankees","P","","75.0","2.15153980255127","2.1"
"Doug Davis","1244","Brewers","P","","203.1","2.765296459198","2.1"
"Ted Lilly","833","Blue Jays","P","","181.2","2.11086416244507","2.1"
"Scott Hatteberg","916","Reds","1B","539","","2.06999087333679","2.1"
"Kenny Rogers","1277","Tigers","P","","204.0","2.05609798431396","2.1"
"Nomar Garciaparra","190","Dodgers","1B","523","","2.03009676933289","2.0"
"A.J. Pierzynski","746","White Sox","C","543","","2.00677037239075","2.0"
"Mark Hendrickson","1574","- - -","P","","164.2","2.14739751815796","2.0"
"Nick Markakis","5930","Orioles","RF","542","","1.96966910362244","2.0"
"Mark Ellis","1443","Athletics","2B","500","","1.96727323532104","2.0"
"Jarrod Washburn","40","Mariners","P","","187.0","1.92907977104187","2.0"
"Joel Zumaya","4699","Tigers","P","","83.1","1.95107531547546","2.0"
"Todd Helton","432","Rockies","1B","649","","1.93682992458344","1.9"
"Felipe Lopez","1311","- - -","SS","714","","1.93150627613068","1.9"
"Mike Piazza","893","Padres","C","439","","1.93054854869843","1.9"
"Orlando Hudson","1307","Diamondbacks","2B","650","","1.92491376399994","1.9"
"Edwin Encarnacion","2151","Reds","3B","467","","1.9217426776886","1.9"
"Carlos Lee","243","- - -","LF","695","","1.91655486822128","1.9"
"Ryan Church","2106","Nationals","CF","230","","1.8998521566391","1.9"
"Josh Willingham","2103","Marlins","LF","573","","1.89794218540192","1.9"
"Ronny Paulino","2129","Pirates","C","481","","1.888676404953","1.9"
"Billy Wagner","578","Mets","P","","72.1","1.85551905632019","1.9"
"Gil Meche","1089","Mariners","P","","186.2","1.88890898227692","1.8"
"Casey Blake","719","Indians","RF","456","","1.83634173870087","1.8"
"Wes Helms","94","Marlins","1B","278","","1.83493220806122","1.8"
"Maicer Izturis","2437","Angels","3B","399","","1.83210670948029","1.8"
"Akinori Otsuka","1895","Rangers","P","","59.2","1.81877720355988","1.8"
"Chad Tracy","1888","Diamondbacks","3B","662","","1.8126927614212","1.8"
"Bobby Jenks","8645","White Sox","P","","69.2","1.81009888648987","1.8"
"Matt Diaz","1771","Braves","LF","323","","1.80128836631775","1.8"
"James Shields","7059","Devil Rays","P","","124.2","1.67902314662933","1.8"
"Adam Loewen","2134","Orioles","P","","112.1","1.8225564956665","1.8"
"Jamie Moyer","1091","- - -","P","","211.1","1.89876389503479","1.8"
"Lyle Overbay","1617","Blue Jays","1B","640","","1.78187036514282","1.8"
"Tadahito Iguchi","8581","White Sox","2B","627","","1.7680983543396","1.8"
"Paul Byrd","594","Indians","P","","179.0","1.7120566368103","1.7"
"Corey Koskie","738","Brewers","3B","289","","1.73828887939453","1.7"
"Jim Edmonds","1153","Cardinals","CF","408","","1.71933209896088","1.7"
"Aaron Heilman","1751","Mets","P","","87.0","1.71175825595856","1.7"
"Marcus Thames","1523","Tigers","LF/DH","390","","1.69707190990448","1.7"
"Dan Wheeler","120","Astros","P","","71.1","1.68934512138367","1.7"
"Anibal Sanchez","3284","Marlins","P","","114.1","1.85629236698151","1.7"
"Julio Lugo","565","- - -","SS","486","","1.67999714612961","1.7"
"Trot Nixon","204","Red Sox","RF","453","","1.66305911540985","1.7"
"Jeff Kent","1119","Dodgers","2B","473","","1.66234183311462","1.7"
"Mark Buehrle","225","White Sox","P","","204.0","1.71342253684998","1.6"
"Rodrigo Lopez","150","Orioles","P","","189.0","1.66182613372803","1.6"
"Scot Shields","35","Angels","P","","87.2","1.63496196269989","1.6"
"Brad Radke","748","Twins","P","","162.1","1.62131035327911","1.6"
"Randy Winn","1235","Giants","RF/CF","635","","1.59036934375763","1.6"
"Ryan Theriot","3811","Cubs","2B","159","","1.58317363262177","1.6"
"Claudio Vargas","1695","Diamondbacks","P","","167.2","1.86729025840759","1.6"
"Yuniesky Betancourt","8585","Mariners","SS","584","","1.57825803756714","1.6"
"Gerald Laird","1698","Rangers","C","260","","1.57471585273743","1.6"
"Marlon Anderson","947","- - -","2B","312","","1.57222783565521","1.6"
"Enrique Gonzalez","2568","Diamondbacks","P","","106.1","1.29013860225677","1.6"
"Melky Cabrera","4022","Yankees","LF","524","","1.56330370903015","1.6"
"Alex Gonzalez","520","Red Sox","SS","429","","1.55946159362793","1.6"
"Esteban German","1449","Royals","2B","331","","1.55682992935181","1.6"
"Bob Wickman","413","- - -","P","","54.0","1.55299645662308","1.6"
"Bob Howry","237","Cubs","P","","76.2","1.48523604869843","1.5"
"Adam Dunn","319","Reds","LF","683","","1.54017078876495","1.5"
"David Eckstein","10","Cardinals","SS","552","","1.5378053188324","1.5"
"Pedro Feliz","1112","Giants","3B","644","","1.52656435966492","1.5"
"Kyle Lohse","739","- - -","P","","126.2","1.50953082740307","1.5"
"Josh Fogg","989","Rockies","P","","172.0","1.71657085418701","1.5"
"Chad Bradford","904","Mets","P","","62.0","1.51772165298462","1.5"
"Ian Snell","2227","Pirates","P","","186.0","1.93157875537872","1.5"
"Elizardo Ramirez","1946","Reds","P","","104.0","1.40677785873413","1.5"
"Justin Duchscherer","910","Athletics","P","","55.2","1.49563491344452","1.5"
"Pat Burrell","949","Phillies","LF","567","","1.49530458450317","1.5"
"Luke Hudson","1542","Royals","P","","102.0","1.48284637928009","1.5"
"Kiko Calero","1676","Athletics","P","","58.0","1.48136496543884","1.5"
"Jason Tyner","1232","Twins","CF/LF","232","","1.47575521469116","1.5"
"Woody Williams","1190","Padres","P","","145.1","1.17337834835052","1.5"
"Adam Wainwright","2233","Cardinals","P","","75.0","1.20263648033142","1.5"
"Miguel Olivo","1638","Marlins","C","452","","1.46258211135864","1.5"
"Chris Coste","7243","Phillies","C","213","","1.45811879634857","1.5"
"Gregg Zaun","580","Blue Jays","C","339","","1.45780062675476","1.5"
"Jose Lopez","3114","Mariners","2B","655","","1.43030095100403","1.4"
"Juan Rincon","752","Twins","P","","74.1","1.42827987670898","1.4"
"Noah Lowry","1833","Giants","P","","159.1","1.27706444263458","1.4"
"Juan Cruz","273","Diamondbacks","P","","94.2","1.57784807682037","1.4"
"Jonathan Broxton","4759","Dodgers","P","","76.1","1.38003015518188","1.4"
"David Bell","1108","- - -","3B","566","","1.40153080224991","1.4"
"Jeff Cirillo","1073","Brewers","3B","290","","1.39325904846191","1.4"
"Hong-Chih Kuo","7016","Dodgers","P","","59.2","1.38391733169556","1.4"
"Russell Branyan","370","- - -","3B/RF","282","","1.38143622875214","1.4"
"Eric Milton","743","Reds","P","","152.2","0.968014895915985","1.4"
"Jacque Jones","735","Cubs","RF","578","","1.37137138843536","1.4"
"Ricky Nolasco","3830","Marlins","P","","140.0","1.18172490596771","1.4"
"Brandon Phillips","791","Reds","2B","587","","1.35115551948547","1.4"
"Scott Spiezio","37","Cardinals","3B/LF","321","","1.3471337556839","1.3"
"Trevor Hoffman","1035","Padres","P","","63.0","1.33647167682648","1.3"
"Aaron Sele","34","Dodgers","P","","103.1","1.20084512233734","1.3"
"Michael Gonzalez","1794","Pirates","P","","54.0","1.33554220199585","1.3"
"Geoff Jenkins","690","Brewers","RF","555","","1.31527161598206","1.3"
"Francisco Cordero","1243","- - -","P","","75.1","1.30660399794579","1.3"
"Moises Alou","261","Giants","RF","378","","1.29618752002716","1.3"
"Rich Hill","4806","Cubs","P","","99.1","1.41183519363403","1.3"
"David Dellucci","1402","Phillies","RF/LF","301","","1.28006970882416","1.3"
"Geoff Geary","1813","Phillies","P","","91.1","1.1918967962265","1.3"
"Ty Wigginton","1491","Devil Rays","1B/2B/3B","486","","1.26916062831879","1.3"
"Paul Maholm","8678","Pirates","P","","176.0","1.3866902589798","1.2"
"Magglio Ordonez","248","Tigers","RF","646","","1.23078370094299","1.2"
"Joaquin Benoit","1437","Rangers","P","","79.2","1.22955060005188","1.2"
"Odalis Perez","668","- - -","P","","126.1","1.30517736077309","1.2"
"Aaron Rowand","254","Phillies","CF","445","","1.22477376461029","1.2"
"Mark Redman","491","Royals","P","","167.0","1.16824162006378","1.2"
"Mike Stanton","849","- - -","P","","67.2","1.24162191152573","1.2"
"Greg Norton","1388","Devil Rays","1B/RF/DH","335","","1.21353185176849","1.2"
"Ryan Langerhans","98","Braves","LF","369","","1.20818626880646","1.2"
"Josh Beckett","510","Red Sox","P","","204.2","0.984760284423828","1.2"
"Braden Looper","526","Cardinals","P","","73.1","1.12196063995361","1.2"
"Jamey Wright","715","Giants","P","","156.0","0.842615246772766","1.2"
"Ramon Ramirez","7986","Rockies","P","","67.2","1.07892751693726","1.2"
"Melvin Mora","157","Orioles","3B","705","","1.18486070632935","1.2"
"Juan Uribe","454","White Sox","SS","495","","1.18027365207672","1.2"
"Olmedo Saenz","937","Dodgers","1B/3B","204","","1.17807829380035","1.2"
"Scott Proctor","1911","Yankees","P","","102.1","1.17271554470062","1.2"
"Chan Ho Park","1267","Padres","P","","136.2","0.80885773897171","1.2"
"Tim Wakefield","219","Red Sox","P","","140.0","1.20320689678192","1.2"
"Alfredo Amezaga","1","Marlins","CF","378","","1.14486241340637","1.1"
"Rafael Soriano","1100","Mariners","P","","60.0","1.13991606235504","1.1"
"Rod Barajas","45","Rangers","C","371","","1.13378930091858","1.1"
"Jason Davis","1598","Indians","P","","55.1","1.1113566160202","1.1"
"John Patterson","71","Nationals","P","","40.2","1.04842507839203","1.1"
"Aubrey Huff","1213","- - -","3B/RF","517","","1.09869805444032","1.1"
"Cla Meredith","7613","Padres","P","","50.2","1.10979282855988","1.1"
"Chris Shelton","1891","Tigers","1B","412","","1.09662115573883","1.1"
"Ian Kinsler","6195","Rangers","2B","474","","1.09597766399384","1.1"
"Salomon Torres","1628","Pirates","P","","93.1","1.0686126947403","1.1"
"Mike Lieberthal","959","Phillies","C","230","","1.07002353668213","1.1"
"Brad Lidge","563","Astros","P","","75.0","1.06702601909637","1.1"
"Kyle Farnsworth","278","Yankees","P","","66.0","1.06450438499451","1.1"
"Zach Miner","3193","Tigers","P","","93.0","1.03755795955658","1.1"
"Shin-Soo Choo","3174","- - -","RF","179","","1.05603502690792","1.1"
"Alan Embree","1030","Padres","P","","52.1","1.06645333766937","1.1"
"Cory Lidle","926","- - -","P","","170.2","1.15351524949074","1.1"
"Todd Coffey","2467","Reds","P","","78.0","1.04968094825745","1.0"
"Kenny Lofton","246","Dodgers","CF","522","","1.04909408092499","1.0"
"Manny Delcarmen","3180","Red Sox","P","","53.1","1.0451101064682","1.0"
"John Rheinecker","2165","Rangers","P","","70.2","0.99744725227356","1.0"
"Joe Saunders","4366","Angels","P","","70.2","1.03666603565216","1.0"
"Stephen Drew","4251","Diamondbacks","SS","226","","1.02492570877075","1.0"
"Robb Quinlan","1779","Angels","1B","244","","1.01965475082397","1.0"
"Wil Ledezma","1669","Tigers","P","","60.1","1.01723659038544","1.0"
"Scott Linebrink","564","Padres","P","","75.2","0.954467236995697","1.0"
"Marcus Giles","89","Braves","2B","626","","1.00725221633911","1.0"
"Todd Walker","359","- - -","1B/2B","504","","1.00325439870358","1.0"
"Todd Jones","436","Tigers","P","","64.0","1.00240385532379","1.0"
"Eric Hinske","1305","- - -","RF","312","","0.996270462870598","1.0"
"Delmon Young","2140","Devil Rays","RF","131","","0.989754736423492","1.0"
"Wily Mo Pena","344","Red Sox","RF/CF","304","","0.985706150531769","1.0"
"Casey Janssen","7355","Blue Jays","P","","94.0","0.996417760848999","1.0"
"Boof Bonser","2159","Twins","P","","100.1","1.03196954727173","1.0"
"Ryan Madson","1852","Phillies","P","","134.1","0.897733509540558","1.0"
"Justin Speier","451","Blue Jays","P","","51.1","0.966168761253357","1.0"
"Adam Kennedy","19","Angels","2B","503","","0.963840961456299","1.0"
"Brett Tomko","1056","Dodgers","P","","112.1","1.02812612056732","1.0"
"Jay Payton","890","Athletics","RF/CF/LF","588","","0.955259442329407","1.0"
"Kevin Correia","1767","Giants","P","","69.2","1.0365149974823","1.0"
"Jeremy Sowers","9083","Indians","P","","88.1","0.946106255054474","0.9"
"Eliezer Alfonzo","2331","Giants","C","309","","0.945207417011261","0.9"
"Carlos Quentin","6274","Diamondbacks","RF","191","","0.939641177654266","0.9"
"Jeff Baker","2073","Rockies","RF","58","","0.935727000236511","0.9"
"Brian Fuentes","429","Rockies","P","","65.1","0.930261850357056","0.9"
"Rickie Weeks Jr.","1849","Brewers","2B","413","","0.929210543632507","0.9"
"Dennys Reyes","444","Twins","P","","50.2","0.926109910011292","0.9"
"Doug Mientkiewicz","741","Royals","1B","361","","0.920633018016815","0.9"
"Ryan Dempster","517","Cubs","P","","75.0","0.946599304676056","0.9"
"Tomo Ohka","788","Brewers","P","","97.0","0.874238967895508","0.9"
"Jose Valverde","1726","Diamondbacks","P","","49.1","0.910915851593018","0.9"
"Jesse Crain","4817","Twins","P","","76.2","0.909243166446686","0.9"
"Victor Santos","446","Pirates","P","","115.1","0.93153840303421","0.9"
"David Wells","855","- - -","P","","75.1","0.885634165257215","0.9"
