"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Albert Pujols","1177","Cardinals","1B","634","","8.11136150360107","8.1"
"Grady Sizemore","2197","Indians","CF","751","","7.89223194122314","7.9"
"Carlos Beltran","589","Mets","CF","617","","7.83727073669434","7.8"
"Chase Utley","1679","Phillies","2B","739","","7.17058181762695","7.2"
"Johan Santana","755","Twins","P","","233.2","6.73190546035767","6.7"
"Brandon Webb","1692","Diamondbacks","P","","235.0","6.49387454986572","6.4"
"Roy Oswalt","571","Astros","P","","220.2","6.08532381057739","6.3"
"Miguel Cabrera","1744","Marlins","3B","676","","6.28014516830444","6.3"
"Derek Jeter","826","Yankees","SS","715","","6.12000703811646","6.1"
"Lance Berkman","548","Astros","1B/RF","646","","6.109055519104","6.1"
"Andruw Jones","96","Braves","CF","669","","5.99342489242554","6.0"
"Travis Hafner","1573","Indians","DH","564","","5.97041034698486","6.0"
"Ryan Howard","2154","Phillies","1B","704","","5.91675090789795","5.9"
"Joe Mauer","1857","Twins","C","608","","5.82067823410034","5.8"
"Carlos Guillen","1079","Tigers","SS","622","","5.80750894546509","5.8"
"Vernon Wells","1326","Blue Jays","CF","677","","5.8031530380249","5.8"
"Jose Reyes","1736","Mets","SS","703","","5.70525884628296","5.7"
"Ichiro Suzuki","1101","Mariners","RF","752","","5.61642360687256","5.6"
"Jeremy Bonderman","1667","Tigers","P","","214.0","5.58295297622681","5.5"
"John Smoltz","115","Braves","P","","232.0","5.49020528793335","5.5"
"Scott Rolen","970","Cardinals","3B","594","","5.45271015167236","5.5"
"Aaron Harang","1451","Reds","P","","234.1","5.74050188064575","5.4"
"Alfonso Soriano","847","Nationals","LF","728","","5.36557245254517","5.4"
"Garrett Atkins","1790","Rockies","3B","695","","5.35608768463135","5.4"
"David Ortiz","745","Red Sox","DH","686","","5.31291246414185","5.3"
"John Lackey","1507","Angels","P","","217.2","5.28888273239136","5.3"
"Jason Bay","1717","Pirates","LF","689","","5.21923351287842","5.2"
"Mike Mussina","837","Yankees","P","","197.1","5.17733383178711","5.1"
"Bill Hall","1605","Brewers","SS","608","","5.09688949584961","5.1"
"CC Sabathia","404","Indians","P","","192.2","5.02266120910645","5.1"
"Roy Halladay","1303","Blue Jays","P","","220.0","5.07416677474976","5.0"
"Miguel Tejada","941","Orioles","SS","709","","4.93191719055176","4.9"
"Nick Johnson","828","Nationals","1B","628","","4.92502641677856","4.9"
"Javier Vazquez","801","White Sox","P","","202.2","4.73130416870117","4.9"
"Jim Thome","409","White Sox","DH","610","","4.84600591659546","4.8"
"Jake Peavy","1051","Padres","P","","202.1","4.44355297088623","4.8"
"Chris Carpenter","1292","Cardinals","P","","221.2","5.01192903518677","4.7"
"David Wright","3787","Mets","3B","661","","4.69111013412476","4.7"
"Carl Crawford","1201","Devil Rays","LF","653","","4.679358959198","4.7"
"Adrian Beltre","639","Mariners","3B","681","","4.63646078109741","4.6"
"Freddy Sanchez","1624","Pirates","3B","632","","4.61648654937744","4.6"
"Curt Schilling","73","Red Sox","P","","204.0","4.55544710159302","4.6"
"Erik Bedard","126","Orioles","P","","196.1","4.58989191055298","4.6"
"Bronson Arroyo","978","Reds","P","","240.2","4.56451225280762","4.5"
"Mike Cameron","1070","Padres","CF","634","","4.50006103515625","4.5"
"Reed Johnson","1702","Blue Jays","LF","517","","4.40215587615967","4.4"
"Hanley Ramirez","8001","Marlins","SS","700","","4.36646509170532","4.4"
"Jimmy Rollins","971","Phillies","SS","758","","4.34039449691772","4.3"
"Jorge Posada","841","Yankees","C","545","","4.28225708007813","4.3"
"Carlos Zambrano","305","Cubs","P","","214.0","3.856858253479","4.3"
"Greg Maddux","104","- - -","P","","210.0","4.34572088718414","4.3"
"Derek Lowe","199","Dodgers","P","","218.0","4.44094562530518","4.3"
"Brian McCann","4810","Braves","C","492","","4.25047636032104","4.3"
"Dan Uggla","3442","Marlins","2B","683","","4.21662664413452","4.2"
"Brandon Inge","470","Tigers","3B","601","","4.20005416870117","4.2"
"Kevin Millwood","106","Rangers","P","","215.0","4.279221534729","4.2"
"J.D. Drew","1152","Dodgers","RF","594","","4.19263124465942","4.2"
"David DeJesus","1825","Royals","CF/LF","552","","4.16105127334595","4.2"
"Ramon Hernandez","918","Orioles","C","560","","4.12364530563354","4.1"
"Jose Contreras","1660","White Sox","P","","196.0","4.01240873336792","4.0"
"Jason Jennings","434","Rockies","P","","212.0","4.19455337524414","4.0"
